"id","event","song","order","set","filename"
"track-5aa78406fb28353c55132ab9","event-5aa78406fb28353c55132811","song-5aa78406fb28353c5513296b","10","Set 2","20170701_umphreysmcgoo_redrocks_10_hajimemashite"
"track-5aa78406fb28353c55132aba","event-5aa78406fb28353c55132811","song-5aa78406fb28353c55132a19","11","Set 2","20170701_umphreysmcgoo_redrocks_11_pushthepig"
"track-5aa78406fb28353c55132abb","event-5aa78406fb28353c55132811","song-5aa78406fb28353c551328aa","12","Set 2","20170701_umphreysmcgoo_redrocks_12_1348"
"track-5aa78406fb28353c55132abc","event-5aa78406fb28353c55132811","song-5aa78406fb28353c551329d1","13","Set 2","20170701_umphreysmcgoo_redrocks_13_mailpackage"
"track-5aa78406fb28353c55132abd","event-5aa78406fb28353c55132811","song-5aa78406fb28353c55132927","14","Set 2","20170701_umphreysmcgoo_redrocks_14_draconian"
"track-5aa78406fb28353c55132abe","event-5aa78406fb28353c55132811","song-5aa78406fb28353c55132a68","15","Encore","20170701_umphreysmcgoo_redrocks_15_thefloor"
"track-5aa78406fb28353c55132abf","event-5aa78406fb28353c55132811","song-5aa78406fb28353c551329bb","1","Set 1","20170701_umphreysmcgoo_redrocks_1_leblitz"
"track-5aa78406fb28353c55132ac0","event-5aa78406fb28353c55132811","song-5aa78406fb28353c551328b1","2","Set 1","20170701_umphreysmcgoo_redrocks_2_40stheme"
"track-5aa78406fb28353c55132ac1","event-5aa78406fb28353c55132811","song-5aa78406fb28353c55132a9e","3","Set 1","20170701_umphreysmcgoo_redrocks_3_wappysprayberry"
"track-5aa78406fb28353c55132ac2","event-5aa78406fb28353c55132811","song-5aa78406fb28353c5513290a","4","Set 1","20170701_umphreysmcgoo_redrocks_4_crucialtaunt"
"track-5aa78406fb28353c55132ac3","event-5aa78406fb28353c55132811","song-5aa78406fb28353c55132ab5","5","Set 1","20170701_umphreysmcgoo_redrocks_5_yogapants"
"track-5aa78406fb28353c55132ac4","event-5aa78406fb28353c55132811","song-5aa78406fb28353c55132aa9","6","Set 1","20170701_umphreysmcgoo_redrocks_6_whitemansmoccasins"
